length,surface,volume
1,6,1
2,24,8
3,54,27
4,96,64
5,150,125
6,216,216
7,294,343
8,384,512
9,486,729
10,600,1000
11,726,1331
12,864,1728
13,1014,2197
14,1176,2744
15,1350,3375
16,1536,4096
17,1734,4913
18,1944,5832
19,2166,6859
20,2400,8000
21,2646,9261
22,2904,10648
23,3174,12167
24,3456,13824
25,3750,15625
26,4056,17576
27,4374,19683
28,4704,21952
29,5046,24389
30,5400,27000
31,5766,29791
32,6144,32768
33,6534,35937
34,6936,39304
35,7350,42875
36,7776,46656
37,8214,50653
38,8664,54872
39,9126,59319
40,9600,64000
41,10086,68921
42,10584,74088
43,11094,79507
44,11616,85184
45,12150,91125
46,12696,97336
47,13254,103823
48,13824,110592
49,14406,117649
50,15000,125000
51,15606,132651
52,16224,140608
53,16854,148877
54,17496,157464
55,18150,166375
56,18816,175616
57,19494,185193
58,20184,195112
59,20886,205379
60,21600,216000
61,22326,226981
62,23064,238328
63,23814,250047
64,24576,262144
65,25350,274625
66,26136,287496
67,26934,300763
68,27744,314432
69,28566,328509
70,29400,343000
71,30246,357911
72,31104,373248
73,31974,389017
74,32856,405224
75,33750,421875
76,34656,438976
77,35574,456533
78,36504,474552
79,37446,493039
80,38400,512000
81,39366,531441
82,40344,551368
83,41334,571787
84,42336,592704
85,43350,614125
86,44376,636056
87,45414,658503
88,46464,681472
89,47526,704969
90,48600,729000
91,49686,753571
92,50784,778688
93,51894,804357
94,53016,830584
95,54150,857375
96,55296,884736
97,56454,912673
98,57624,941192
99,58806,970299
100,60000,1000000
101,61206,1030301
102,62424,1061208
103,63654,1092727
104,64896,1124864
105,66150,1157625
106,67416,1191016
107,68694,1225043
108,69984,1259712
109,71286,1295029
110,72600,1331000
111,73926,1367631
112,75264,1404928
113,76614,1442897
114,77976,1481544
115,79350,1520875
116,80736,1560896
117,82134,1601613
118,83544,1643032
119,84966,1685159
120,86400,1728000
121,87846,1771561
122,89304,1815848
123,90774,1860867
124,92256,1906624
125,93750,1953125
126,95256,2000376
127,96774,2048383
128,98304,2097152
129,99846,2146689
130,101400,2197000
131,102966,2248091
132,104544,2299968
133,106134,2352637
134,107736,2406104
135,109350,2460375
136,110976,2515456
137,112614,2571353
138,114264,2628072
139,115926,2685619
140,117600,2744000
141,119286,2803221
142,120984,2863288
143,122694,2924207
144,124416,2985984
145,126150,3048625
146,127896,3112136
147,129654,3176523
148,131424,3241792
149,133206,3307949
150,135000,3375000
151,136806,3442951
152,138624,3511808
153,140454,3581577
154,142296,3652264
155,144150,3723875
156,146016,3796416
157,147894,3869893
158,149784,3944312
159,151686,4019679
160,153600,4096000
161,155526,4173281
162,157464,4251528
163,159414,4330747
164,161376,4410944
165,163350,4492125
166,165336,4574296
167,167334,4657463
168,169344,4741632
169,171366,4826809
170,173400,4913000
171,175446,5000211
172,177504,5088448
173,179574,5177717
174,181656,5268024
175,183750,5359375
176,185856,5451776
177,187974,5545233
178,190104,5639752
179,192246,5735339
180,194400,5832000
181,196566,5929741
182,198744,6028568
183,200934,6128487
184,203136,6229504
185,205350,6331625
186,207576,6434856
187,209814,6539203
188,212064,6644672
189,214326,6751269
190,216600,6859000
191,218886,6967871
192,221184,7077888
193,223494,7189057
194,225816,7301384
195,228150,7414875
196,230496,7529536
197,232854,7645373
198,235224,7762392
199,237606,7880599
200,240000,8000000
201,242406,8120601
202,244824,8242408
203,247254,8365427
204,249696,8489664
205,252150,8615125
206,254616,8741816
207,257094,8869743
208,259584,8998912
209,262086,9129329
210,264600,9261000
211,267126,9393931
212,269664,9528128
213,272214,9663597
214,274776,9800344
215,277350,9938375
216,279936,10077696
217,282534,10218313
218,285144,10360232
219,287766,10503459
220,290400,10648000
221,293046,10793861
222,295704,10941048
223,298374,11089567
224,301056,11239424
225,303750,11390625
226,306456,11543176
227,309174,11697083
228,311904,11852352
229,314646,12008989
230,317400,12167000
231,320166,12326391
232,322944,12487168
233,325734,12649337
234,328536,12812904
235,331350,12977875
236,334176,13144256
237,337014,13312053
238,339864,13481272
239,342726,13651919
240,345600,13824000
241,348486,13997521
242,351384,14172488
243,354294,14348907
244,357216,14526784
245,360150,14706125
246,363096,14886936
247,366054,15069223
248,369024,15252992
249,372006,15438249
250,375000,15625000
251,378006,15813251
252,381024,16003008
253,384054,16194277
254,387096,16387064
255,390150,16581375
256,393216,16777216
257,396294,16974593
258,399384,17173512
259,402486,17373979
260,405600,17576000
261,408726,17779581
262,411864,17984728
263,415014,18191447
264,418176,18399744
265,421350,18609625
266,424536,18821096
267,427734,19034163
268,430944,19248832
269,434166,19465109
270,437400,19683000
271,440646,19902511
272,443904,20123648
273,447174,20346417
274,450456,20570824
275,453750,20796875
276,457056,21024576
277,460374,21253933
278,463704,21484952
279,467046,21717639
280,470400,21952000
281,473766,22188041
282,477144,22425768
283,480534,22665187
284,483936,22906304
285,487350,23149125
286,490776,23393656
287,494214,23639903
288,497664,23887872
289,501126,24137569
290,504600,24389000
291,508086,24642171
292,511584,24897088
293,515094,25153757
294,518616,25412184
295,522150,25672375
296,525696,25934336
297,529254,26198073
298,532824,26463592
299,536406,26730899
300,540000,27000000
301,543606,27270901
302,547224,27543608
303,550854,27818127
304,554496,28094464
305,558150,28372625
306,561816,28652616
307,565494,28934443
308,569184,29218112
309,572886,29503629
310,576600,29791000
311,580326,30080231
312,584064,30371328
313,587814,30664297
314,591576,30959144
315,595350,31255875
316,599136,31554496
317,602934,31855013
318,606744,32157432
319,610566,32461759
320,614400,32768000
321,618246,33076161
322,622104,33386248
323,625974,33698267
324,629856,34012224
325,633750,34328125
326,637656,34645976
327,641574,34965783
328,645504,35287552
329,649446,35611289
330,653400,35937000
331,657366,36264691
332,661344,36594368
333,665334,36926037
334,669336,37259704
335,673350,37595375
336,677376,37933056
337,681414,38272753
338,685464,38614472
339,689526,38958219
340,693600,39304000
341,697686,39651821
342,701784,40001688
343,705894,40353607
344,710016,40707584
345,714150,41063625
346,718296,41421736
347,722454,41781923
348,726624,42144192
349,730806,42508549
350,735000,42875000
351,739206,43243551
352,743424,43614208
353,747654,43986977
354,751896,44361864
355,756150,44738875
356,760416,45118016
357,764694,45499293
358,768984,45882712
359,773286,46268279
360,777600,46656000
361,781926,47045881
362,786264,47437928
363,790614,47832147
364,794976,48228544
365,799350,48627125
366,803736,49027896
367,808134,49430863
368,812544,49836032
369,816966,50243409
370,821400,50653000
371,825846,51064811
372,830304,51478848
373,834774,51895117
374,839256,52313624
375,843750,52734375
376,848256,53157376
377,852774,53582633
378,857304,54010152
379,861846,54439939
380,866400,54872000
381,870966,55306341
382,875544,55742968
383,880134,56181887
384,884736,56623104
385,889350,57066625
386,893976,57512456
387,898614,57960603
388,903264,58411072
389,907926,58863869
390,912600,59319000
391,917286,59776471
392,921984,60236288
393,926694,60698457
394,931416,61162984
395,936150,61629875
396,940896,62099136
397,945654,62570773
398,950424,63044792
399,955206,63521199
400,960000,64000000
401,964806,64481201
402,969624,64964808
403,974454,65450827
404,979296,65939264
405,984150,66430125
406,989016,66923416
407,993894,67419143
408,998784,67917312
409,1003686,68417929
410,1008600,68921000
411,1013526,69426531
412,1018464,69934528
413,1023414,70444997
414,1028376,70957944
415,1033350,71473375
416,1038336,71991296
417,1043334,72511713
418,1048344,73034632
419,1053366,73560059
420,1058400,74088000
421,1063446,74618461
422,1068504,75151448
423,1073574,75686967
424,1078656,76225024
425,1083750,76765625
426,1088856,77308776
427,1093974,77854483
428,1099104,78402752
429,1104246,78953589
430,1109400,79507000
431,1114566,80062991
432,1119744,80621568
433,1124934,81182737
434,1130136,81746504
435,1135350,82312875
436,1140576,82881856
437,1145814,83453453
438,1151064,84027672
439,1156326,84604519
440,1161600,85184000
441,1166886,85766121
442,1172184,86350888
443,1177494,86938307
444,1182816,87528384
445,1188150,88121125
446,1193496,88716536
447,1198854,89314623
448,1204224,89915392
449,1209606,90518849
450,1215000,91125000
451,1220406,91733851
452,1225824,92345408
453,1231254,92959677
454,1236696,93576664
455,1242150,94196375
456,1247616,94818816
457,1253094,95443993
458,1258584,96071912
459,1264086,96702579
460,1269600,97336000
461,1275126,97972181
462,1280664,98611128
463,1286214,99252847
464,1291776,99897344
465,1297350,100544625
466,1302936,101194696
467,1308534,101847563
468,1314144,102503232
469,1319766,103161709
470,1325400,103823000
471,1331046,104487111
472,1336704,105154048
473,1342374,105823817
474,1348056,106496424
475,1353750,107171875
476,1359456,107850176
477,1365174,108531333
478,1370904,109215352
479,1376646,109902239
480,1382400,110592000
481,1388166,111284641
482,1393944,111980168
483,1399734,112678587
484,1405536,113379904
485,1411350,114084125
486,1417176,114791256
487,1423014,115501303
488,1428864,116214272
489,1434726,116930169
490,1440600,117649000
491,1446486,118370771
492,1452384,119095488
493,1458294,119823157
494,1464216,120553784
495,1470150,121287375
496,1476096,122023936
497,1482054,122763473
498,1488024,123505992
499,1494006,124251499
500,1500000,125000000
501,1506006,125751501
502,1512024,126506008
503,1518054,127263527
504,1524096,128024064
505,1530150,128787625
506,1536216,129554216
507,1542294,130323843
508,1548384,131096512
509,1554486,131872229
510,1560600,132651000
511,1566726,133432831
512,1572864,134217728
513,1579014,135005697
514,1585176,135796744
515,1591350,136590875
516,1597536,137388096
517,1603734,138188413
518,1609944,138991832
519,1616166,139798359
520,1622400,140608000
521,1628646,141420761
522,1634904,142236648
523,1641174,143055667
524,1647456,143877824
525,1653750,144703125
526,1660056,145531576
527,1666374,146363183
528,1672704,147197952
529,1679046,148035889
530,1685400,148877000
531,1691766,149721291
532,1698144,150568768
533,1704534,151419437
534,1710936,152273304
535,1717350,153130375
536,1723776,153990656
537,1730214,154854153
538,1736664,155720872
539,1743126,156590819
540,1749600,157464000
541,1756086,158340421
542,1762584,159220088
543,1769094,160103007
544,1775616,160989184
545,1782150,161878625
546,1788696,162771336
547,1795254,163667323
548,1801824,164566592
549,1808406,165469149
550,1815000,166375000
551,1821606,167284151
552,1828224,168196608
553,1834854,169112377
554,1841496,170031464
555,1848150,170953875
556,1854816,171879616
557,1861494,172808693
558,1868184,173741112
559,1874886,174676879
560,1881600,175616000
561,1888326,176558481
562,1895064,177504328
563,1901814,178453547
564,1908576,179406144
565,1915350,180362125
566,1922136,181321496
567,1928934,182284263
568,1935744,183250432
569,1942566,184220009
570,1949400,185193000
571,1956246,186169411
572,1963104,187149248
573,1969974,188132517
574,1976856,189119224
575,1983750,190109375
576,1990656,191102976
577,1997574,192100033
578,2004504,193100552
579,2011446,194104539
580,2018400,195112000
581,2025366,196122941
582,2032344,197137368
583,2039334,198155287
584,2046336,199176704
585,2053350,200201625
586,2060376,201230056
587,2067414,202262003
588,2074464,203297472
589,2081526,204336469
590,2088600,205379000
591,2095686,206425071
592,2102784,207474688
593,2109894,208527857
594,2117016,209584584
595,2124150,210644875
596,2131296,211708736
597,2138454,212776173
598,2145624,213847192
599,2152806,214921799
600,2160000,216000000
601,2167206,217081801
602,2174424,218167208
603,2181654,219256227
604,2188896,220348864
605,2196150,221445125
606,2203416,222545016
607,2210694,223648543
608,2217984,224755712
609,2225286,225866529
610,2232600,226981000
611,2239926,228099131
612,2247264,229220928
613,2254614,230346397
614,2261976,231475544
615,2269350,232608375
616,2276736,233744896
617,2284134,234885113
618,2291544,236029032
619,2298966,237176659
620,2306400,238328000
621,2313846,239483061
622,2321304,240641848
623,2328774,241804367
624,2336256,242970624
625,2343750,244140625
626,2351256,245314376
627,2358774,246491883
628,2366304,247673152
629,2373846,248858189
630,2381400,250047000
631,2388966,251239591
632,2396544,252435968
633,2404134,253636137
634,2411736,254840104
635,2419350,256047875
636,2426976,257259456
637,2434614,258474853
638,2442264,259694072
639,2449926,260917119
640,2457600,262144000
641,2465286,263374721
642,2472984,264609288
643,2480694,265847707
644,2488416,267089984
645,2496150,268336125
646,2503896,269586136
647,2511654,270840023
648,2519424,272097792
649,2527206,273359449
650,2535000,274625000
651,2542806,275894451
652,2550624,277167808
653,2558454,278445077
654,2566296,279726264
655,2574150,281011375
656,2582016,282300416
657,2589894,283593393
658,2597784,284890312
659,2605686,286191179
660,2613600,287496000
661,2621526,288804781
662,2629464,290117528
663,2637414,291434247
664,2645376,292754944
665,2653350,294079625
666,2661336,295408296
667,2669334,296740963
668,2677344,298077632
669,2685366,299418309
670,2693400,300763000
671,2701446,302111711
672,2709504,303464448
673,2717574,304821217
674,2725656,306182024
675,2733750,307546875
676,2741856,308915776
677,2749974,310288733
678,2758104,311665752
679,2766246,313046839
680,2774400,314432000
681,2782566,315821241
682,2790744,317214568
683,2798934,318611987
684,2807136,320013504
685,2815350,321419125
686,2823576,322828856
687,2831814,324242703
688,2840064,325660672
689,2848326,327082769
690,2856600,328509000
691,2864886,329939371
692,2873184,331373888
693,2881494,332812557
694,2889816,334255384
695,2898150,335702375
696,2906496,337153536
697,2914854,338608873
698,2923224,340068392
699,2931606,341532099
700,2940000,343000000
701,2948406,344472101
702,2956824,345948408
703,2965254,347428927
704,2973696,348913664
705,2982150,350402625
706,2990616,351895816
707,2999094,353393243
708,3007584,354894912
709,3016086,356400829
710,3024600,357911000
711,3033126,359425431
712,3041664,360944128
713,3050214,362467097
714,3058776,363994344
715,3067350,365525875
716,3075936,367061696
717,3084534,368601813
718,3093144,370146232
719,3101766,371694959
720,3110400,373248000
721,3119046,374805361
722,3127704,376367048
723,3136374,377933067
724,3145056,379503424
725,3153750,381078125
726,3162456,382657176
727,3171174,384240583
728,3179904,385828352
729,3188646,387420489
730,3197400,389017000
731,3206166,390617891
732,3214944,392223168
733,3223734,393832837
734,3232536,395446904
735,3241350,397065375
736,3250176,398688256
737,3259014,400315553
738,3267864,401947272
739,3276726,403583419
740,3285600,405224000
741,3294486,406869021
742,3303384,408518488
743,3312294,410172407
744,3321216,411830784
745,3330150,413493625
746,3339096,415160936
747,3348054,416832723
748,3357024,418508992
749,3366006,420189749
750,3375000,421875000
751,3384006,423564751
752,3393024,425259008
753,3402054,426957777
754,3411096,428661064
755,3420150,430368875
756,3429216,432081216
757,3438294,433798093
758,3447384,435519512
759,3456486,437245479
760,3465600,438976000
761,3474726,440711081
762,3483864,442450728
763,3493014,444194947
764,3502176,445943744
765,3511350,447697125
766,3520536,449455096
767,3529734,451217663
768,3538944,452984832
769,3548166,454756609
770,3557400,456533000
771,3566646,458314011
772,3575904,460099648
773,3585174,461889917
774,3594456,463684824
775,3603750,465484375
776,3613056,467288576
777,3622374,469097433
778,3631704,470910952
779,3641046,472729139
780,3650400,474552000
781,3659766,476379541
782,3669144,478211768
783,3678534,480048687
784,3687936,481890304
785,3697350,483736625
786,3706776,485587656
787,3716214,487443403
788,3725664,489303872
789,3735126,491169069
790,3744600,493039000
791,3754086,494913671
792,3763584,496793088
793,3773094,498677257
794,3782616,500566184
795,3792150,502459875
796,3801696,504358336
797,3811254,506261573
798,3820824,508169592
799,3830406,510082399
800,3840000,512000000
801,3849606,513922401
802,3859224,515849608
803,3868854,517781627
804,3878496,519718464
805,3888150,521660125
806,3897816,523606616
807,3907494,525557943
808,3917184,527514112
809,3926886,529475129
810,3936600,531441000
811,3946326,533411731
812,3956064,535387328
813,3965814,537367797
814,3975576,539353144
815,3985350,541343375
816,3995136,543338496
817,4004934,545338513
818,4014744,547343432
